Currency,Rate,Base,Timestamp,Date
AED,3.672455,USD,1148054400,20060519
ALL,98.977984,USD,1148054400,20060519
AMD,439.937158,USD,1148054400,20060519
ANG,1.785,USD,1148054400,20060519
ARS,3.055661,USD,1148054400,20060519
AUD,1.318724,USD,1148054400,20060519
AWG,1.79,USD,1148054400,20060519
BBD,2.0,USD,1148054400,20060519
BDT,67.964573,USD,1148054400,20060519
BGN,1.526821,USD,1148054400,20060519
BHD,0.37645,USD,1148054400,20060519
BIF,978.966574,USD,1148054400,20060519
BMD,1.0,USD,1148054400,20060519
BND,1.597107,USD,1148054400,20060519
BOB,8.007462,USD,1148054400,20060519
BRL,2.180986,USD,1148054400,20060519
BSD,1.0,USD,1148054400,20060519
BTN,45.620596,USD,1148054400,20060519
BWP,5.379569,USD,1148054400,20060519
BYR,2151.655687,USD,1148054400,20060519
BZD,1.98,USD,1148054400,20060519
CAD,1.121758,USD,1148054400,20060519
CDF,431.959104,USD,1148054400,20060519
CHF,1.217579,USD,1148054400,20060519
CLP,523.410697,USD,1148054400,20060519
CNY,8.01702,USD,1148054400,20060519
COP,2449.560878,USD,1148054400,20060519
CRC,509.828365,USD,1148054400,20060519
CVE,86.364847,USD,1148054400,20060519
CYP,0.449722,USD,1148054400,20060519
CZK,22.150286,USD,1148054400,20060519
DJF,177.721,USD,1148054400,20060519
DKK,5.842322,USD,1148054400,20060519
DOP,32.54182,USD,1148054400,20060519
DZD,72.019698,USD,1148054400,20060519
EEK,12.23978,USD,1148054400,20060519
EGP,5.75352,USD,1148054400,20060519
ETB,8.736838,USD,1148054400,20060519
EUR,0.783409,USD,1148054400,20060519
FJD,1.721653,USD,1148054400,20060519
FKP,0.532601,USD,1148054400,20060519
GBP,0.532779,USD,1148054400,20060519
GEL,1.822458,USD,1148054400,20060519
GIP,0.532701,USD,1148054400,20060519
GMD,28.174581,USD,1148054400,20060519
GNF,4502.413492,USD,1148054400,20060519
GTQ,7.58657,USD,1148054400,20060519
GYD,189.500804,USD,1148054400,20060519
HKD,7.755195,USD,1148054400,20060519
HNL,18.905,USD,1148054400,20060519
HRK,5.698764,USD,1148054400,20060519
HTG,40.025621,USD,1148054400,20060519
HUF,206.491966,USD,1148054400,20060519
IDR,9201.079643,USD,1148054400,20060519
IEP,0.707378,USD,1148054400,20060519
ILS,4.463263,USD,1148054400,20060519
INR,45.435387,USD,1148054400,20060519
IQD,1469.557359,USD,1148054400,20060519
IRR,9161.974622,USD,1148054400,20060519
ISK,71.395003,USD,1148054400,20060519
JMD,64.087674,USD,1148054400,20060519
JOD,0.7089,USD,1148054400,20060519
JPY,111.729202,USD,1148054400,20060519
KES,72.325529,USD,1148054400,20060519
KGS,41.375201,USD,1148054400,20060519
KHR,4018.687397,USD,1148054400,20060519
KMF,385.343464,USD,1148054400,20060519
KPW,170.000392,USD,1148054400,20060519
KRW,946.138326,USD,1148054400,20060519
KWD,0.289136,USD,1148054400,20060519
KZT,121.379364,USD,1148054400,20060519
LAK,9994.501371,USD,1148054400,20060519
LBP,1504.479962,USD,1148054400,20060519
LKR,102.942298,USD,1148054400,20060519
LRD,49.000275,USD,1148054400,20060519
LSL,6.494039,USD,1148054400,20060519
LTL,2.704472,USD,1148054400,20060519
LVL,0.54786,USD,1148054400,20060519
LYD,1.29749,USD,1148054400,20060519
MAD,8.675598,USD,1148054400,20060519
MDL,13.154864,USD,1148054400,20060519
MKD,48.064855,USD,1148054400,20060519
MMK,6.51,USD,1148054400,20060519
MNT,1182.003846,USD,1148054400,20060519
MOP,7.987164,USD,1148054400,20060519
MRO,270.268269,USD,1148054400,20060519
MTL,0.335571,USD,1148054400,20060519
MUR,30.87913,USD,1148054400,20060519
MVR,12.8,USD,1148054400,20060519
MWK,131.460351,USD,1148054400,20060519
MXN,11.157459,USD,1148054400,20060519
MYR,3.615,USD,1148054400,20060519
NAD,6.46883,USD,1148054400,20060519
NGN,128.497673,USD,1148054400,20060519
NIO,17.296998,USD,1148054400,20060519
NOK,6.108959,USD,1148054400,20060519
NPR,71.852706,USD,1148054400,20060519
NZD,1.609863,USD,1148054400,20060519
OMR,0.384497,USD,1148054400,20060519
PAB,1.0,USD,1148054400,20060519
PEN,3.259326,USD,1148054400,20060519
PGK,3.011005,USD,1148054400,20060519
PHP,52.629996,USD,1148054400,20060519
PKR,60.068643,USD,1148054400,20060519
PLN,3.087804,USD,1148054400,20060519
PYG,5677.401712,USD,1148054400,20060519
QAR,3.64,USD,1148054400,20060519
RON,2.760998,USD,1148054400,20060519
RUB,27.101568,USD,1148054400,20060519
RWF,552.712706,USD,1148054400,20060519
SAR,3.749595,USD,1148054400,20060519
SBD,7.244776,USD,1148054400,20060519
SCR,5.417458,USD,1148054400,20060519
SEK,7.332483,USD,1148054400,20060519
SGD,1.584609,USD,1148054400,20060519
SHP,0.532601,USD,1148054400,20060519
SIT,187.52391,USD,1148054400,20060519
SKK,29.441978,USD,1148054400,20060519
SLL,2375.000979,USD,1148054400,20060519
SOS,1410.101723,USD,1148054400,20060519
STD,6889.760805,USD,1148054400,20060519
SVC,8.754247,USD,1148054400,20060519
SYP,52.993205,USD,1148054400,20060519
SZL,6.49233,USD,1148054400,20060519
THB,38.186702,USD,1148054400,20060519
TJS,2.785005,USD,1148054400,20060519
TND,1.3169,USD,1148054400,20060519
TOP,2.035743,USD,1148054400,20060519
TRY,1.480367,USD,1148054400,20060519
TTD,6.27675,USD,1148054400,20060519
TWD,31.924554,USD,1148054400,20060519
TZS,1251.498363,USD,1148054400,20060519
