Currency,Rate,Base,Timestamp,Date
AED,3.673065,USD,1716206400,20240520
AFN,71.913174,USD,1716206400,20240520
ALL,92.419558,USD,1716206400,20240520
AMD,387.837467,USD,1716206400,20240520
ANG,1.80347,USD,1716206400,20240520
AOA,848.472333,USD,1716206400,20240520
ARS,886.7705,USD,1716206400,20240520
AUD,1.496403,USD,1716206400,20240520
AWG,1.8025,USD,1716206400,20240520
AZN,1.7,USD,1716206400,20240520
BAM,1.800457,USD,1716206400,20240520
BBD,2.0,USD,1716206400,20240520
BDT,117.188939,USD,1716206400,20240520
BGN,1.79811,USD,1716206400,20240520
BHD,0.377062,USD,1716206400,20240520
BIF,2866.539934,USD,1716206400,20240520
BMD,1.0,USD,1716206400,20240520
BND,1.346872,USD,1716206400,20240520
BOB,6.915344,USD,1716206400,20240520
BRL,5.1052,USD,1716206400,20240520
BSD,1.0,USD,1716206400,20240520
BTC,1.4929182e-05,USD,1716206400,20240520
BTN,83.345139,USD,1716206400,20240520
BWP,13.522346,USD,1716206400,20240520
BYN,3.274727,USD,1716206400,20240520
BZD,2.017029,USD,1716206400,20240520
CAD,1.36216,USD,1716206400,20240520
CDF,2791.80954,USD,1716206400,20240520
CHF,0.909527,USD,1716206400,20240520
CLF,0.032344,USD,1716206400,20240520
CLP,892.46,USD,1716206400,20240520
CNH,7.243443,USD,1716206400,20240520
CNY,7.1013,USD,1716206400,20240520
COP,3833.366175,USD,1716206400,20240520
CRC,512.192936,USD,1716206400,20240520
CUC,1.0,USD,1716206400,20240520
CUP,25.75,USD,1716206400,20240520
CVE,101.506975,USD,1716206400,20240520
CZK,22.7867,USD,1716206400,20240520
DJF,178.16545,USD,1716206400,20240520
DKK,6.870265,USD,1716206400,20240520
DOP,58.546822,USD,1716206400,20240520
DZD,134.30713,USD,1716206400,20240520
EGP,46.6479,USD,1716206400,20240520
ERN,15.0,USD,1716206400,20240520
ETB,57.482124,USD,1716206400,20240520
EUR,0.920794,USD,1716206400,20240520
FJD,2.2282,USD,1716206400,20240520
FKP,0.78768,USD,1716206400,20240520
GBP,0.78768,USD,1716206400,20240520
GEL,2.75,USD,1716206400,20240520
GGP,0.78768,USD,1716206400,20240520
GHS,14.410649,USD,1716206400,20240520
GIP,0.78768,USD,1716206400,20240520
GMD,67.9,USD,1716206400,20240520
GNF,8601.591991,USD,1716206400,20240520
