Currency,Rate,Base,Timestamp,Date
AED,3.67253,USD,1104512400,20041231
ALL,92.302458,USD,1104512400,20041231
AMD,484.017463,USD,1104512400,20041231
ANG,1.79,USD,1104512400,20041231
ARS,2.967639,USD,1104512400,20041231
AUD,1.280385,USD,1104512400,20041231
AWG,1.79,USD,1104512400,20041231
BBD,2.0,USD,1104512400,20041231
BDT,60.183593,USD,1104512400,20041231
BGN,1.435919,USD,1104512400,20041231
BHD,0.3764,USD,1104512400,20041231
BIF,1068.27781,USD,1104512400,20041231
BMD,1.0,USD,1104512400,20041231
BND,1.632864,USD,1104512400,20041231
BOB,8.027737,USD,1104512400,20041231
BRL,2.669684,USD,1104512400,20041231
BSD,1.0,USD,1104512400,20041231
BTN,43.456413,USD,1104512400,20041231
BWP,4.28123,USD,1104512400,20041231
BYR,2174.208539,USD,1104512400,20041231
BZD,1.99,USD,1104512400,20041231
CAD,1.203212,USD,1104512400,20041231
CDF,428.79931,USD,1104512400,20041231
CHF,1.136889,USD,1104512400,20041231
CLP,558.617086,USD,1104512400,20041231
CNY,8.275583,USD,1104512400,20041231
COP,2360.086776,USD,1104512400,20041231
CRC,457.841943,USD,1104512400,20041231
CVE,80.950004,USD,1104512400,20041231
CYP,0.427221,USD,1104512400,20041231
CZK,22.354456,USD,1104512400,20041231
DJF,177.721,USD,1104512400,20041231
DKK,5.470335,USD,1104512400,20041231
DOP,27.975036,USD,1104512400,20041231
DZD,72.073121,USD,1104512400,20041231
EEK,11.53266,USD,1104512400,20041231
EGP,6.154013,USD,1104512400,20041231
ETB,8.593037,USD,1104512400,20041231
EUR,0.737489,USD,1104512400,20041231
FJD,1.642376,USD,1104512400,20041231
FKP,0.51961,USD,1104512400,20041231
GBP,0.520295,USD,1104512400,20041231
GEL,1.779219,USD,1104512400,20041231
GIP,0.518174,USD,1104512400,20041231
GMD,29.476042,USD,1104512400,20041231
GNF,2799.711622,USD,1104512400,20041231
GTQ,7.742586,USD,1104512400,20041231
GYD,179.040945,USD,1104512400,20041231
HKD,7.772853,USD,1104512400,20041231
HNL,18.610165,USD,1104512400,20041231
HRK,5.626671,USD,1104512400,20041231
HTG,35.971199,USD,1104512400,20041231
HUF,180.481137,USD,1104512400,20041231
IDR,9248.196167,USD,1104512400,20041231
IEP,0.688039,USD,1104512400,20041231
ILS,4.327594,USD,1104512400,20041231
INR,43.446377,USD,1104512400,20041231
IQD,1460.199589,USD,1104512400,20041231
IRR,8785.99956,USD,1104512400,20041231
ISK,61.375817,USD,1104512400,20041231
JMD,61.228023,USD,1104512400,20041231
JOD,0.70901,USD,1104512400,20041231
JPY,102.588932,USD,1104512400,20041231
KES,79.604415,USD,1104512400,20041231
KGS,41.438802,USD,1104512400,20041231
KHR,3848.987372,USD,1104512400,20041231
KMF,361.183467,USD,1104512400,20041231
KPW,2.200088,USD,1104512400,20041231
KRW,1034.456141,USD,1104512400,20041231
KWD,0.294731,USD,1104512400,20041231
KZT,129.997798,USD,1104512400,20041231
LAK,10837.2248,USD,1104512400,20041231
LBP,1513.130484,USD,1104512400,20041231
LKR,104.650836,USD,1104512400,20041231
LRD,47.001834,USD,1104512400,20041231
LSL,5.639993,USD,1104512400,20041231
LTL,2.534909,USD,1104512400,20041231
